year,state,yield_bu_acre
2000,Alabama,65.0
2000,Alabama,65.0
2000,Alabama,68.0
2000,Alabama,70.0
2000,Alabama,70.0
2001,Alabama,107.0
2001,Alabama,110.0
2001,Alabama,114.0
2001,Alabama,114.0
2001,Alabama,110.0
2002,Alabama,88.0
2002,Alabama,84.0
2002,Alabama,89.0
2002,Alabama,87.0
2002,Alabama,84.0
2003,Alabama,122.0
2003,Alabama,104.0
2003,Alabama,115.0
2003,Alabama,112.0
2003,Alabama,112.0
2004,Alabama,123.0
2004,Alabama,120.0
2004,Alabama,123.0
2004,Alabama,120.0
2004,Alabama,120.0
2005,Alabama,119.0
2005,Alabama,120.0
2005,Alabama,112.0
2005,Alabama,115.0
2005,Alabama,118.0
2006,Alabama,72.0
2006,Alabama,55.0
2006,Alabama,60.0
2006,Alabama,60.0
2006,Alabama,60.0
2007,Alabama,78.0
2007,Alabama,65.0
2007,Alabama,73.0
2007,Alabama,73.0
2007,Alabama,65.0
2008,Alabama,104.0
2008,Alabama,95.0
2008,Alabama,92.0
2008,Alabama,92.0
2008,Alabama,92.0
2009,Alabama,108.0
2009,Alabama,106.0
2009,Alabama,108.0
2009,Alabama,108.0
2009,Alabama,108.0
2010,Alabama,115.0
2010,Alabama,115.0
2010,Alabama,120.0
2010,Alabama,120.0
2010,Alabama,120.0
2011,Alabama,114.0
2011,Alabama,100.0
2011,Alabama,107.0
2011,Alabama,107.0
2011,Alabama,105.0
2012,Alabama,98.0
2012,Alabama,85.0
2012,Alabama,105.0
2012,Alabama,100.0
2012,Alabama,100.0
2013,Alabama,147.0
2013,Alabama,145.0
2013,Alabama,150.0
2013,Alabama,145.0
2014,Alabama,159.0
2014,Alabama,149.0
2014,Alabama,156.0
2014,Alabama,155.0
2014,Alabama,149.0
2015,Alabama,147.0
2015,Alabama,138.0
2015,Alabama,140.0
2015,Alabama,139.0
2015,Alabama,133.0
2016,Alabama,120.0
2016,Alabama,130.0
2016,Alabama,122.0
2016,Alabama,124.0
2016,Alabama,124.0
2017,Alabama,167.0
2017,Alabama,165.0
2017,Alabama,165.0
2017,Alabama,170.0
2017,Alabama,167.0
2018,Alabama,156.0
2018,Alabama,170.0
2018,Alabama,176.0
2018,Alabama,176.0
2018,Alabama,173.0
2019,Alabama,147.0
2019,Alabama,161.0
2019,Alabama,156.0
2019,Alabama,151.0
2019,Alabama,161.0
2020,Alabama,158.0
2020,Alabama,165.0
2020,Alabama,166.0
2020,Alabama,166.0
2020,Alabama,163.0
2021,Alabama,163.0
2021,Alabama,165.0
2021,Alabama,162.0
2021,Alabama,162.0
2021,Alabama,166.0
2022,Alabama,118.0
2022,Alabama,134.0
2022,Alabama,124.0
2022,Alabama,129.0
2022,Alabama,122.0
2023,Alabama,164.0
2023,Alabama,159.0
2023,Alabama,168.0
2023,Alabama,167.0
2023,Alabama,166.0
2024,Alabama,112.0
2024,Alabama,117.0
2024,Alabama,100.0
2024,Alabama,100.0
2024,Alabama,108.0
2025,Alabama,152.0
2025,Alabama,157.0
2025,Alabama,157.0
2025,Alabama,166.0
2000,Arizona,196.0
2001,Arizona,208.0
2002,Arizona,185.0
2003,Arizona,190.0
2004,Arizona,180.0
2005,Arizona,195.0
2006,Arizona,170.0
2007,Arizona,185.0
2008,Arizona,165.0
2009,Arizona,175.0
2010,Arizona,210.0
2011,Arizona,178.0
2012,Arizona,195.0
2013,Arizona,177.0
2014,Arizona,210.0
2015,Arizona,210.0
2016,Arizona,215.0
2017,Arizona,195.0
2018,Arizona,220.0
2019,Arizona,231.0
2020,Arizona,202.0
2021,Arizona,181.0
2022,Arizona,220.0
2023,Arizona,206.0
2024,Arizona,225.0
2025,Arizona,198.0
2000,Arkansas,130.0
2000,Arkansas,125.0
2000,Arkansas,125.0
2000,Arkansas,125.0
2000,Arkansas,120.0
2001,Arkansas,145.0
2001,Arkansas,133.0
2001,Arkansas,145.0
2001,Arkansas,145.0
2001,Arkansas,145.0
2002,Arkansas,134.0
2002,Arkansas,135.0
2002,Arkansas,140.0
2002,Arkansas,140.0
2002,Arkansas,140.0
2003,Arkansas,140.0
2003,Arkansas,135.0
2003,Arkansas,140.0
2003,Arkansas,140.0
2003,Arkansas,140.0
2004,Arkansas,140.0
2004,Arkansas,140.0
2004,Arkansas,140.0
2004,Arkansas,140.0
2004,Arkansas,140.0
2005,Arkansas,131.0
2005,Arkansas,134.0
2005,Arkansas,128.0
2005,Arkansas,128.0
2005,Arkansas,125.0
2006,Arkansas,146.0
2006,Arkansas,128.0
2006,Arkansas,145.0
2006,Arkansas,135.0
2006,Arkansas,134.0
2007,Arkansas,169.0
2007,Arkansas,153.0
2007,Arkansas,160.0
2007,Arkansas,160.0
2007,Arkansas,155.0
2008,Arkansas,152.0
2008,Arkansas,165.0
2008,Arkansas,157.0
2008,Arkansas,160.0
2008,Arkansas,165.0
2009,Arkansas,148.0
2009,Arkansas,155.0
2009,Arkansas,152.0
2009,Arkansas,153.0
2009,Arkansas,153.0
2010,Arkansas,150.0
2010,Arkansas,157.0
2010,Arkansas,150.0
2010,Arkansas,150.0
2010,Arkansas,152.0
2011,Arkansas,141.0
2011,Arkansas,150.0
2011,Arkansas,140.0
2011,Arkansas,142.0
2011,Arkansas,146.0
2012,Arkansas,178.0
2012,Arkansas,160.0
2012,Arkansas,177.0
2012,Arkansas,177.0
2012,Arkansas,175.0
2013,Arkansas,186.0
2013,Arkansas,170.0
2013,Arkansas,182.0
2013,Arkansas,175.0
2014,Arkansas,187.0
2014,Arkansas,180.0
2014,Arkansas,190.0
2014,Arkansas,188.0
2014,Arkansas,184.0
2015,Arkansas,181.0
2015,Arkansas,195.0
2015,Arkansas,186.0
2015,Arkansas,184.0
2015,Arkansas,188.0
2016,Arkansas,171.0
2016,Arkansas,189.0
2016,Arkansas,178.0
2016,Arkansas,178.0
2016,Arkansas,184.0
2017,Arkansas,183.0
2017,Arkansas,182.0
2017,Arkansas,179.0
2017,Arkansas,179.0
2017,Arkansas,182.0
2018,Arkansas,181.0
2018,Arkansas,182.0
2018,Arkansas,181.0
2018,Arkansas,179.0
2018,Arkansas,182.0
2019,Arkansas,175.0
2019,Arkansas,180.0
2019,Arkansas,175.0
2019,Arkansas,175.0
2019,Arkansas,177.0
2020,Arkansas,184.0
2020,Arkansas,181.0
2020,Arkansas,181.0
2020,Arkansas,183.0
2020,Arkansas,181.0
2021,Arkansas,184.0
2021,Arkansas,178.0
2021,Arkansas,183.0
2021,Arkansas,184.0
2021,Arkansas,182.0
2022,Arkansas,173.0
2022,Arkansas,178.0
2022,Arkansas,176.0
2022,Arkansas,176.0
2022,Arkansas,176.0
2023,Arkansas,183.0
2023,Arkansas,180.0
2023,Arkansas,180.0
2023,Arkansas,180.0
2023,Arkansas,180.0
2024,Arkansas,187.0
2024,Arkansas,186.0
2024,Arkansas,186.0
2024,Arkansas,186.0
2024,Arkansas,186.0
2025,Arkansas,182.0
2025,Arkansas,182.0
2025,Arkansas,179.0
2025,Arkansas,178.0
2000,California,170.0
2000,California,170.0
2000,California,170.0
2000,California,170.0
2000,California,170.0
2001,California,170.0
2001,California,175.0
2001,California,170.0
2001,California,170.0
2001,California,175.0
2002,California,170.0
2002,California,175.0
2002,California,175.0
2002,California,175.0
2002,California,175.0
2003,California,160.0
2003,California,170.0
2003,California,170.0
2003,California,170.0
2003,California,170.0
2004,California,175.0
2004,California,160.0
2004,California,165.0
2004,California,165.0
2004,California,160.0
2005,California,172.0
2005,California,160.0
2005,California,155.0
2005,California,155.0
2005,California,155.0
2006,California,165.0
2006,California,175.0
2006,California,175.0
2006,California,175.0
2006,California,175.0
2007,California,182.0
2007,California,170.0
2007,California,175.0
2007,California,175.0
2007,California,175.0
2008,California,195.0
2008,California,175.0
2008,California,180.0
2008,California,180.0
2008,California,175.0
2009,California,180.0
2009,California,180.0
2009,California,180.0
2009,California,180.0
2009,California,180.0
2010,California,192.0
2010,California,195.0
2010,California,195.0
2010,California,195.0
2010,California,195.0
2011,California,181.0
2011,California,190.0
2011,California,190.0
2011,California,185.0
2011,California,185.0
2012,California,180.0
2012,California,190.0
2012,California,190.0
2012,California,190.0
2012,California,190.0
2013,California,191.0
2013,California,190.0
2013,California,190.0
2013,California,190.0
2014,California,165.0
2014,California,170.0
2014,California,165.0
2014,California,160.0
2014,California,175.0
2015,California,157.0
2015,California,180.0
2015,California,190.0
2015,California,185.0
2015,California,185.0
2016,California,185.0
2016,California,185.0
2016,California,180.0
2016,California,180.0
2016,California,185.0
2017,California,167.0
2017,California,162.0
2017,California,184.0
2017,California,184.0
2017,California,178.0
2018,California,173.0
2018,California,182.0
2018,California,183.0
2018,California,178.0
2018,California,175.0
2019,California,168.0
2019,California,166.0
2019,California,160.0
2019,California,165.0
2019,California,161.0
2020,California,187.0
2020,California,164.0
2020,California,155.0
2020,California,155.0
2020,California,160.0
2021,California,188.0
2021,California,200.0
2021,California,195.0
2021,California,195.0
2021,California,195.0
2022,California,177.0
2022,California,220.0
2022,California,200.0
2022,California,200.0
2022,California,200.0
2023,California,178.0
2023,California,172.0
2023,California,174.0
2023,California,174.0
2023,California,178.0
2024,California,182.0
2025,California,173.0
2000,Colorado,126.0
2000,Colorado,135.0
2000,Colorado,135.0
2000,Colorado,135.0
2000,Colorado,135.0
2001,Colorado,140.0
2001,Colorado,133.0
2001,Colorado,138.0
2001,Colorado,138.0
2001,Colorado,133.0
2002,Colorado,150.0
2002,Colorado,143.0
2002,Colorado,146.0
2002,Colorado,143.0
2002,Colorado,143.0
2003,Colorado,135.0
2003,Colorado,143.0
2003,Colorado,148.0
2003,Colorado,148.0
2003,Colorado,147.0
2004,Colorado,135.0
2004,Colorado,126.0
2004,Colorado,128.0
2004,Colorado,132.0
2004,Colorado,132.0
2005,Colorado,148.0
2005,Colorado,137.0
2005,Colorado,135.0
2005,Colorado,135.0
2005,Colorado,130.0
2006,Colorado,156.0
2006,Colorado,154.0
2006,Colorado,150.0
2006,Colorado,150.0
2006,Colorado,152.0
2007,Colorado,140.0
2007,Colorado,150.0
2007,Colorado,150.0
2007,Colorado,150.0
2007,Colorado,150.0
2008,Colorado,137.0
2008,Colorado,150.0
2008,Colorado,140.0
2008,Colorado,140.0
2008,Colorado,145.0
2009,Colorado,153.0
2009,Colorado,140.0
2009,Colorado,145.0
2009,Colorado,140.0
2009,Colorado,138.0
2010,Colorado,151.0
2010,Colorado,140.0
2010,Colorado,144.0
2010,Colorado,144.0
2010,Colorado,144.0
2011,Colorado,133.0
2011,Colorado,130.0
2011,Colorado,120.0
2011,Colorado,127.0
2011,Colorado,127.0
2012,Colorado,133.0
2012,Colorado,135.0
2012,Colorado,138.0
2012,Colorado,138.0
2012,Colorado,135.0
2013,Colorado,131.0
2013,Colorado,145.0
2013,Colorado,138.0
2013,Colorado,143.0
2014,Colorado,146.0
2014,Colorado,144.0
2014,Colorado,146.0
2014,Colorado,144.0
2014,Colorado,144.0
2015,Colorado,142.0
2015,Colorado,150.0
2015,Colorado,158.0
2015,Colorado,158.0
2015,Colorado,152.0
2016,Colorado,137.0
2016,Colorado,140.0
2016,Colorado,142.0
2016,Colorado,138.0
2016,Colorado,140.0
2017,Colorado,143.0
2017,Colorado,145.0
2017,Colorado,148.0
2017,Colorado,145.0
2017,Colorado,145.0
2018,Colorado,129.0
2018,Colorado,133.0
2018,Colorado,127.0
2018,Colorado,127.0
2018,Colorado,130.0
2019,Colorado,123.0
2019,Colorado,150.0
2019,Colorado,140.0
2019,Colorado,144.0
2019,Colorado,148.0
2020,Colorado,116.0
2020,Colorado,117.0
2020,Colorado,122.0
2020,Colorado,125.0
2020,Colorado,117.0
2021,Colorado,129.0
2021,Colorado,130.0
2021,Colorado,136.0
2021,Colorado,134.0
2021,Colorado,132.0
2022,Colorado,121.0
2022,Colorado,118.0
2022,Colorado,124.0
2022,Colorado,125.0
2022,Colorado,123.0
2023,Colorado,122.0
2023,Colorado,130.0
2023,Colorado,124.0
2023,Colorado,128.0
2023,Colorado,130.0
2024,Colorado,116.0
2024,Colorado,128.0
2024,Colorado,118.0
2024,Colorado,126.0
2024,Colorado,123.0
2025,Colorado,133.0
2025,Colorado,118.0
2025,Colorado,130.0
2025,Colorado,126.0
2000,Delaware,162.0
2000,Delaware,155.0
2000,Delaware,165.0
2000,Delaware,165.0
2000,Delaware,160.0
2001,Delaware,146.0
2001,Delaware,142.0
2001,Delaware,144.0
2001,Delaware,144.0
2001,Delaware,142.0
2002,Delaware,84.0
2002,Delaware,85.0
2002,Delaware,81.0
2002,Delaware,81.0
2002,Delaware,81.0
2003,Delaware,123.0
2003,Delaware,138.0
2003,Delaware,131.0
2003,Delaware,138.0
2003,Delaware,138.0
2004,Delaware,152.0
2004,Delaware,126.0
2004,Delaware,144.0
2004,Delaware,144.0
2004,Delaware,128.0
2005,Delaware,143.0
2005,Delaware,137.0
2005,Delaware,135.0
2005,Delaware,137.0
2005,Delaware,137.0
2006,Delaware,145.0
2006,Delaware,145.0
2006,Delaware,150.0
2006,Delaware,145.0
2006,Delaware,145.0
2007,Delaware,99.0
2007,Delaware,80.0
2007,Delaware,90.0
2007,Delaware,85.0
2007,Delaware,80.0
2008,Delaware,125.0
2008,Delaware,125.0
2008,Delaware,122.0
2008,Delaware,124.0
2008,Delaware,120.0
2009,Delaware,145.0
2009,Delaware,130.0
2009,Delaware,145.0
2009,Delaware,145.0
2009,Delaware,145.0
2010,Delaware,114.0
2010,Delaware,115.0
2010,Delaware,120.0
2010,Delaware,120.0
2010,Delaware,115.0
2011,Delaware,130.0
2011,Delaware,125.0
2011,Delaware,127.0
2011,Delaware,125.0
2011,Delaware,125.0
2012,Delaware,135.0
2012,Delaware,105.0
2012,Delaware,120.0
2012,Delaware,115.0
2012,Delaware,115.0
2013,Delaware,166.0
2013,Delaware,165.0
2013,Delaware,160.0
2013,Delaware,160.0
2014,Delaware,200.0
2014,Delaware,160.0
2014,Delaware,190.0
2014,Delaware,175.0
2014,Delaware,170.0
2015,Delaware,192.0
2015,Delaware,193.0
2015,Delaware,192.0
2015,Delaware,182.0
2015,Delaware,180.0
2016,Delaware,170.0
2016,Delaware,193.0
2016,Delaware,170.0
2016,Delaware,172.0
2016,Delaware,187.0
2017,Delaware,189.0
2017,Delaware,190.0
2017,Delaware,186.0
2017,Delaware,190.0
2017,Delaware,200.0
2018,Delaware,145.0
2018,Delaware,186.0
2018,Delaware,156.0
2018,Delaware,164.0
2018,Delaware,175.0
2019,Delaware,161.0
2019,Delaware,165.0
2019,Delaware,148.0
2019,Delaware,150.0
2019,Delaware,160.0
2020,Delaware,160.0
2020,Delaware,170.0
2020,Delaware,181.0
2020,Delaware,181.0
2020,Delaware,170.0
2021,Delaware,184.0
2021,Delaware,160.0
2021,Delaware,175.0
2021,Delaware,170.0
2021,Delaware,163.0
2022,Delaware,170.0
2022,Delaware,172.0
2022,Delaware,165.0
2022,Delaware,170.0
2022,Delaware,165.0
2023,Delaware,189.0
2023,Delaware,193.0
2023,Delaware,186.0
2023,Delaware,186.0
2023,Delaware,184.0
2024,Delaware,171.0
2024,Delaware,153.0
2024,Delaware,155.0
2024,Delaware,160.0
2024,Delaware,168.0
2025,Delaware,191.0
2025,Delaware,178.0
2025,Delaware,162.0
2025,Delaware,181.0
2000,Florida,75.0
2001,Florida,87.0
2002,Florida,96.0
2003,Florida,82.0
2004,Florida,90.0
2005,Florida,94.0
2006,Florida,82.0
2007,Florida,90.0
2008,Florida,110.0
2009,Florida,97.0
2010,Florida,109.0
2011,Florida,104.0
2012,Florida,115.0
2013,Florida,133.0
2014,Florida,135.0
2015,Florida,141.0
2016,Florida,145.0
2017,Florida,161.0
2018,Florida,157.0
2019,Florida,161.0
2020,Florida,138.0
2021,Florida,176.0
2022,Florida,164.0
2023,Florida,158.0
2024,Florida,141.0
2025,Florida,155.0
2000,Georgia,107.0
2000,Georgia,100.0
2000,Georgia,103.0
2000,Georgia,100.0
2000,Georgia,100.0
2001,Georgia,134.0
2001,Georgia,120.0
2001,Georgia,123.0
2001,Georgia,126.0
2001,Georgia,120.0
2002,Georgia,110.0
2002,Georgia,130.0
2002,Georgia,125.0
2002,Georgia,125.0
2002,Georgia,130.0
2003,Georgia,126.0
2003,Georgia,140.0
2003,Georgia,135.0
2003,Georgia,135.0
2003,Georgia,135.0
2004,Georgia,128.0
2004,Georgia,125.0
2004,Georgia,130.0
2004,Georgia,130.0
2004,Georgia,130.0
2005,Georgia,128.0
2005,Georgia,129.0
2005,Georgia,127.0
2005,Georgia,127.0
2005,Georgia,125.0
2006,Georgia,110.0
2006,Georgia,102.0
2006,Georgia,114.0
2006,Georgia,109.0
2006,Georgia,104.0
2007,Georgia,127.0
2007,Georgia,115.0
2007,Georgia,118.0
2007,Georgia,118.0
2007,Georgia,120.0
2008,Georgia,140.0
2008,Georgia,140.0
2008,Georgia,125.0
2008,Georgia,130.0
2008,Georgia,135.0
2009,Georgia,140.0
2009,Georgia,148.0
2009,Georgia,140.0
2009,Georgia,140.0
2009,Georgia,143.0
2010,Georgia,146.0
2010,Georgia,138.0
2010,Georgia,140.0
2010,Georgia,140.0
2010,Georgia,142.0
2011,Georgia,159.0
2011,Georgia,148.0
2011,Georgia,152.0
2011,Georgia,152.0
2011,Georgia,147.0
2012,Georgia,180.0
2012,Georgia,175.0
2012,Georgia,190.0
2012,Georgia,190.0
2012,Georgia,185.0
2013,Georgia,175.0
2013,Georgia,181.0
2013,Georgia,183.0
2013,Georgia,183.0
2014,Georgia,170.0
2014,Georgia,162.0
2014,Georgia,170.0
2014,Georgia,169.0
2014,Georgia,167.0
2015,Georgia,171.0
2015,Georgia,180.0
2015,Georgia,181.0
2015,Georgia,184.0
2015,Georgia,184.0
2016,Georgia,165.0
2016,Georgia,178.0
2016,Georgia,175.0
2016,Georgia,178.0
2016,Georgia,175.0
2017,Georgia,176.0
2017,Georgia,178.0
2017,Georgia,179.0
2017,Georgia,184.0
2017,Georgia,182.0
2018,Georgia,176.0
2018,Georgia,173.0
2018,Georgia,169.0
2018,Georgia,170.0
2018,Georgia,170.0
2019,Georgia,160.0
2019,Georgia,170.0
2019,Georgia,168.0
2019,Georgia,168.0
2019,Georgia,166.0
2020,Georgia,180.0
2020,Georgia,181.0
2020,Georgia,182.0
2020,Georgia,182.0
2020,Georgia,181.0
2021,Georgia,182.0
2021,Georgia,170.0
2021,Georgia,180.0
2021,Georgia,176.0
2021,Georgia,172.0
2022,Georgia,175.0
2022,Georgia,166.0
2022,Georgia,168.0
2022,Georgia,171.0
2022,Georgia,171.0
2023,Georgia,174.0
2023,Georgia,174.0
2023,Georgia,183.0
2023,Georgia,177.0
2023,Georgia,177.0
2024,Georgia,163.0
2024,Georgia,149.0
2024,Georgia,142.0
2024,Georgia,149.0
2024,Georgia,146.0
2025,Georgia,187.0
2025,Georgia,179.0
2025,Georgia,182.0
2025,Georgia,182.0
2000,Idaho,160.0
2001,Idaho,150.0
2002,Idaho,155.0
2003,Idaho,140.0
2004,Idaho,175.0
2005,Idaho,170.0
2006,Idaho,170.0
2007,Idaho,170.0
2008,Idaho,170.0
2009,Idaho,185.0
2010,Idaho,190.0
2011,Idaho,189.0
2012,Idaho,195.0
2013,Idaho,181.0
2014,Idaho,200.0
2015,Idaho,207.0
2016,Idaho,188.0
2016,Idaho,210.0
2016,Idaho,220.0
2016,Idaho,215.0
2016,Idaho,210.0
2017,Idaho,203.0
2017,Idaho,200.0
2017,Idaho,210.0
2017,Idaho,210.0
2017,Idaho,205.0
2018,Idaho,213.0
2018,Idaho,190.0
2018,Idaho,205.0
2018,Idaho,202.0
2018,Idaho,195.0
2019,Idaho,205.0
2019,Idaho,210.0
2019,Idaho,210.0
2019,Idaho,210.0
2019,Idaho,200.0
2020,Idaho,199.0
2020,Idaho,203.0
2020,Idaho,205.0
2020,Idaho,205.0
2020,Idaho,205.0
2021,Idaho,210.0
2021,Idaho,208.0
2021,Idaho,214.0
2021,Idaho,214.0
2021,Idaho,209.0
2022,Idaho,216.0
2022,Idaho,210.0
2022,Idaho,200.0
2022,Idaho,200.0
2022,Idaho,200.0
2023,Idaho,203.0
2023,Idaho,204.0
2023,Idaho,215.0
2023,Idaho,212.0
2023,Idaho,208.0
2024,Idaho,206.0
2024,Idaho,220.0
2024,Idaho,207.0
2024,Idaho,215.0
2024,Idaho,215.0
2025,Idaho,209.0
2025,Idaho,222.0
2025,Idaho,227.0
2025,Idaho,230.0
2000,Illinois,151.0
2000,Illinois,158.0
2000,Illinois,153.0
2000,Illinois,155.0
2000,Illinois,158.0
2001,Illinois,152.0
2001,Illinois,146.0
2001,Illinois,150.0
2001,Illinois,149.0
2001,Illinois,146.0
2002,Illinois,135.0
2002,Illinois,140.0
2002,Illinois,138.0
2002,Illinois,138.0
2002,Illinois,140.0
2003,Illinois,164.0
2003,Illinois,154.0
2003,Illinois,169.0
2003,Illinois,169.0
2003,Illinois,154.0
2004,Illinois,180.0
2004,Illinois,168.0
2004,Illinois,180.0
2004,Illinois,180.0
2004,Illinois,170.0
2005,Illinois,143.0
2005,Illinois,125.0
2005,Illinois,145.0
2005,Illinois,145.0
2005,Illinois,136.0
2006,Illinois,163.0
2006,Illinois,172.0
2006,Illinois,165.0
2006,Illinois,171.0
2006,Illinois,174.0
2007,Illinois,175.0
2007,Illinois,178.0
2007,Illinois,178.0
2007,Illinois,178.0
2007,Illinois,180.0
2008,Illinois,179.0
2008,Illinois,172.0
2008,Illinois,179.0
2008,Illinois,177.0
2008,Illinois,172.0
2009,Illinois,174.0
2009,Illinois,175.0
2009,Illinois,175.0
2009,Illinois,179.0
2009,Illinois,179.0
2010,Illinois,157.0
2010,Illinois,180.0
2010,Illinois,159.0
2010,Illinois,160.0
2010,Illinois,174.0
2011,Illinois,157.0
